Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,S3 Standard,0,1.82,21.84,USD,S3 Standard storage (1 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon EC2,0,1494.74,17936.88,USD,"Operating system (Linux), Quantity (10), Pricing strategy (Convertible Reserved Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (t4g.2xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,18279.554,219354.65,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (5000 GB per month), Instance type (db.m5.24xlarge)"
My Estimate,US East (N. Virginia),,Network Load Balancer,0,87.61,1051.32,USD,"Number of Network Load Balancers (2), Average number of new TCP connections (5000 per second), Average TCP connection duration (1 seconds), Processed bytes per NLB for TCP (5 GB per hour)"
My Estimate,US East (N. Virginia),NAT Gateway,Amazon Virtual Private Cloud (VPC),0,33.08,396.96,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (4), Number of EIPs per instance (1)"


Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
